timestamp,label,split,mode,agent_model,grader_model,prompt_hash,total_in_scope,passed,failed,not_scored,blocked,result_file
2026-08-22T06:19:04.528145+00:00,baseline,all,legacy_heuristic,gpt-4,,b73879d92c6c,6,,,,17,20260822T061904Z_baseline.json
2026-08-22T08:43:27.962970+00:00,baseline,all,legacy_heuristic,gpt-4,,b73879d92c6c,6,,,,17,20260822T084327Z_baseline.json
2026-08-22T09:03:59.284710+00:00,cleanup-verify,all,legacy_heuristic,gpt-4,,b73879d92c6c,5,,,,17,20260822T090359Z_cleanup-verify.json
2026-08-22T10:32:20.287936+00:00,thesis-v1,dev,legacy_heuristic,gpt-4,,cec192483b52,2,,,,15,20260822T103220Z_thesis-v1.json
2026-08-22T13:42:22.674415+00:00,step13-sanity,dev,legacy_heuristic,gpt-4,,9f89087a9d23,2,,,,15,20260822T134222Z_step13-sanity.json
2026-08-23T00:55:42.052061+00:00,step15-initial,dev,code_only,gpt-4,,9f89087a9d23,17,4,3,10,0,20260823T005542Z_step15-initial.json
2026-08-23T01:00:33.658035+00:00,step15-initial-full,dev,full,gpt-4,gpt-4o,9f89087a9d23,17,12,3,2,0,20260823T010033Z_step15-initial-full.json
2026-08-23T01:04:22.880984+00:00,step15-initial-full-v2,dev,full,gpt-4,gpt-4o,9f89087a9d23,17,11,3,3,0,20260823T010422Z_step15-initial-full-v2.json
2026-08-23T01:07:59.364904+00:00,step15-baseline,dev,full,gpt-4,gpt-4o,9f89087a9d23,17,13,4,0,0,20260823T010759Z_step15-baseline.json
2026-08-23T01:11:43.611986+00:00,step15-initial-final,dev,full,gpt-4,gpt-4o,9f89087a9d23,17,11,6,0,0,20260823T011143Z_step15-initial-final.json
2026-08-23T01:30:42.978431+00:00,step15-iter1-get_order_reuse,dev,full,gpt-4,gpt-4o,c0e7f66e1602,17,12,5,0,0,20260823T013042Z_step15-iter1-get_order_reuse.json
2026-08-23T02:03:56.291156+00:00,step15-iter2-get_order_first,dev,full,gpt-4,gpt-4o,cf4f3d06d461,17,11,6,0,0,20260823T020356Z_step15-iter2-get_order_first.json
2026-08-23T02:25:30.422606+00:00,step15-case-contract-fix,dev,full,gpt-4,gpt-4o,cf4f3d06d461,17,15,2,0,0,20260823T022530Z_step15-case-contract-fix.json
2026-08-23T02:40:18.328825+00:00,step15-b1002-simplified,dev,full,gpt-4,gpt-4o,cf4f3d06d461,16,13,3,0,0,20260823T024018Z_step15-b1002-simplified.json
2026-08-23T02:51:27.503438+00:00,step15-j2-02-two-turn,dev,full,gpt-4,gpt-4o,cf4f3d06d461,16,11,5,0,0,20260823T025127Z_step15-j2-02-two-turn.json
2026-08-23T03:01:41.325428+00:00,step15-j2-02-final,dev,full,gpt-4,gpt-4o,cf4f3d06d461,16,13,3,0,0,20260823T030141Z_step15-j2-02-final.json
2026-08-23T03:10:07.276755+00:00,step16-gpt-4-baseline-run1,dev,full,gpt-4,gpt-4o,745113b6d4ec,16,12,4,0,0,20260823T031007Z_step16-gpt-4-baseline-run1.json
2026-08-23T03:13:08.231302+00:00,step16-gpt-4-baseline-run2,dev,full,gpt-4,gpt-4o,745113b6d4ec,16,12,4,0,0,20260823T031308Z_step16-gpt-4-baseline-run2.json
2026-08-23T03:15:48.547607+00:00,step16-gpt-4-baseline-run3,dev,full,gpt-4,gpt-4o,745113b6d4ec,16,14,2,0,0,20260823T031548Z_step16-gpt-4-baseline-run3.json
2026-08-23T03:18:49.145675+00:00,step16-gpt-5.6-medium-run1,dev,full,gpt-5.6,gpt-4o,89bb8e3fab39,16,13,3,0,0,20260823T031849Z_step16-gpt-5.6-medium-run1.json
2026-08-23T03:22:13.195764+00:00,step16-gpt-5.6-medium-run2,dev,full,gpt-5.6,gpt-4o,89bb8e3fab39,16,13,3,0,0,20260823T032213Z_step16-gpt-5.6-medium-run2.json
2026-08-23T03:25:25.663477+00:00,step16-gpt-5.6-medium-run3,dev,full,gpt-5.6,gpt-4o,89bb8e3fab39,16,13,3,0,0,20260823T032525Z_step16-gpt-5.6-medium-run3.json
2026-08-23T03:28:19.398471+00:00,step16-gpt-5.6-low-run1,dev,full,gpt-5.6,gpt-4o,bfc3b2e2f026,16,12,4,0,0,20260823T032819Z_step16-gpt-5.6-low-run1.json
2026-08-23T03:30:53.909718+00:00,step16-gpt-5.6-low-run2,dev,full,gpt-5.6,gpt-4o,bfc3b2e2f026,16,14,2,0,0,20260823T033053Z_step16-gpt-5.6-low-run2.json
2026-08-23T03:33:25.200970+00:00,step16-gpt-5.6-low-run3,dev,full,gpt-5.6,gpt-4o,bfc3b2e2f026,16,13,3,0,0,20260823T033325Z_step16-gpt-5.6-low-run3.json
2026-08-23T03:51:35.277042+00:00,step16-gpt-5.6-medium-run1,dev,full,gpt-5.6,gpt-4o,89bb8e3fab39,16,14,2,0,0,20260823T035135Z_step16-gpt-5.6-medium-run1.json
2026-08-23T03:54:55.289109+00:00,step16-gpt-5.6-medium-run2,dev,full,gpt-5.6,gpt-4o,89bb8e3fab39,16,13,3,0,0,20260823T035455Z_step16-gpt-5.6-medium-run2.json
2026-08-23T03:57:45.657704+00:00,step16-gpt-5.6-medium-run3,dev,full,gpt-5.6,gpt-4o,89bb8e3fab39,16,13,3,0,0,20260823T035745Z_step16-gpt-5.6-medium-run3.json
2026-08-23T04:00:28.854408+00:00,step16-gpt-5.6-low-run1,dev,full,gpt-5.6,gpt-4o,bfc3b2e2f026,16,13,3,0,0,20260823T040028Z_step16-gpt-5.6-low-run1.json
2026-08-23T04:03:02.888068+00:00,step16-gpt-5.6-low-run2,dev,full,gpt-5.6,gpt-4o,bfc3b2e2f026,16,14,2,0,0,20260823T040302Z_step16-gpt-5.6-low-run2.json
2026-08-23T04:05:38.088062+00:00,step16-gpt-5.6-low-run3,dev,full,gpt-5.6,gpt-4o,bfc3b2e2f026,16,13,3,0,0,20260823T040538Z_step16-gpt-5.6-low-run3.json
